Uniprot ID,Timepoint,log2FC,GeneID,HGNC Symbol
Q86TX2,DV3_24h-Mock_24h,1.608293391,641371,ACOT1
Q86YS6,DV3_24h-Mock_24h,1.346686195,339122,RAB43
Q8NFC6,DV3_48h-Mock_48h,-1.871358958,259282,BOD1L1
Q96FN4,DV3_24h-Mock_24h,1.548069833,221184,CPNE2
Q8IVG5,DV3_24h-Mock_24h,1.172951102,219285,SAMD9L
Q8IVG5,DV3_48h-Mock_48h,1.858370323,219285,SAMD9L
Q8TDB6,DV3_48h-Mock_48h,1.601030028,151636,DTX3L
Q5EBM0,DV3_24h-Mock_24h,2.040383286,129607,CMPK2
Q5EBM0,DV3_48h-Mock_48h,5.130396927,129607,CMPK2
Q96PP8,DV3_48h-Mock_48h,3.175454832,115362,GBP5
Q96A00,DV3_24h-Mock_24h,1.624327066,94274,PPP1R14A
Q53GL7,DV3_48h-Mock_48h,1.829224207,84875,PARP10
Q8IXQ6,DV3_24h-Mock_24h,0.971403167,83666,PARP9
Q8IXQ6,DV3_48h-Mock_48h,2.34950984,83666,PARP9
Q7Z3D6,DV3_24h-Mock_24h,-1.227909786,80017,DGLUCY
Q96DC8,DV3_24h-Mock_24h,-0.626369403,79746,ECHDC3
Q7Z2Z2,DV3_48h-Mock_48h,2.687528925,79631,EFL1
Q9BYX4,DV3_24h-Mock_24h,2.003777245,64135,IFIH1
Q9BYX4,DV3_48h-Mock_48h,4.555946029,64135,IFIH1
O60783,DV3_48h-Mock_48h,0.707201924,63931,MRPS14
Q9C0C9,DV3_24h-Mock_24h,1.145852987,63893,UBE2O
Q9NQ25,DV3_48h-Mock_48h,1.171972565,57823,SLAMF7
Q63HN8,DV3_48h-Mock_48h,1.577665674,57674,RNF213
Q9P1Z2,DV3_24h-Mock_24h,-4.320640808,57658,CALCOCO1
Q9P265,DV3_48h-Mock_48h,1.548780939,57609,DIP2B
Q9NPI6,DV3_48h-Mock_48h,0.762547239,55802,DCP1A
Q9BV68,DV3_48h-Mock_48h,-0.675007177,55658,RNF126
Q9NX58,DV3_24h-Mock_24h,1.381904766,55646,LYAR
Q5K651,DV3_48h-Mock_48h,1.653304209,54809,SAMD9
Q96GS4,DV3_24h-Mock_24h,-1.140864972,54785,BORCS6
Q460N5,DV3_48h-Mock_48h,2.689508851,54625,PARP14
Q8IZH2,DV3_48h-Mock_48h,1.832641085,54464,XRN1
Q9NYK5,DV3_24h-Mock_24h,1.864309705,54148,MRPL39
