GeneSymbol,GeneID,Average_Zscore,HGNC Symbol
A2LD1,87769,1.5885492872736848,GGACT
ABCC2,1244,1.2099342533708892,ABCC2
ABCG2,9429,1.2936572371935722,ABCG2
ACACB,32,1.126953640687583,ACACB
ACAS2L,84532,1.9949373385500548,ACSS1
ACLY,47,1.1396191134170783,ACLY
ACTR5,79913,1.6397208962846714,ACTR5
ACVR1C,130399,1.1477219164063088,ACVR1C
ACY1,95,1.1518877070484312,ACY1
ADAM11,4185,1.3186725315058176,ADAM11
ADAM19,8728,1.189382527116922,ADAM19
ADAM32,203102,1.1716949489359338,ADAM32
ADAM7,8756,1.4036407377000413,ADAM7
ADAMTS2,9509,1.29925244806926,ADAMTS2
ADAMTSL3,57188,2.144264119971802,ADAMTSL3
ADCY2,108,1.1427086275208649,ADCY2
ADRB2,154,1.502924819357123,ADRB2
AES,166,1.2203390918502164,TLE5
AFMID,125061,1.10169679798083,AFMID
AGL,178,1.1725822125425267,AGL
AGPAT5,55326,1.190737289478883,AGPAT5
AGTR1,185,1.0999616146526192,AGTR1
AIRE,326,1.1322415051534405,AIRE
AKAP28,158798,1.2418116518259108,AKAP14
AKT1S1,84335,1.2194851057415392,AKT1S1
ALDH3A1,218,1.2443426090494865,ALDH3A1
ALDOA,226,1.4304176972244544,ALDOA
ALKBH,8846,1.4920335250098735,ALKBH1
ALOX12,239,1.5996165960385293,ALOX12
ALS2CR4,65062,1.4402054527232475,TMEM237
AMIGO2,347902,1.9128970239222394,AMIGO2
AMPH,273,1.1699816585900416,AMPH
ANAPC13,25847,1.0966448818631247,ANAPC13
ANKRD20A2,441430,1.0972824486894948,ANKRD20A2P
ANKRD27,84079,1.7384494393809837,ANKRD27
ANKRD50,57182,1.8055815261535004,ANKRD50
ANXA1,301,1.7820027918084458,ANXA1
ANXA11,311,1.727706644162228,ANXA11
ANXA3,306,1.313024009394771,ANXA3
AP1M1,8907,1.2550557880590971,AP1M1
AP3D1,8943,1.2494606133133475,AP3D1
APOC2,344,1.2457048486138187,APOC2
APOL1,8542,1.354420955891256,APOL1
APPBP1,8883,1.3031191394050596,NAE1
ARC,23237,2.0524338229997308,ARC
ARG99,83857,1.468799143801025,TMTC1
ARHGAP26,23092,1.2037761591195963,ARHGAP26
ARHGEF1,9138,1.4466171011938278,ARHGEF1
ARHGEF11,9826,1.7732071419918698,ARHGEF11
ARIH2,10425,1.5306597922901206,ARIH2
ARL4C,10123,2.1064048990973943,ARL4C
ARL4D,379,1.171410587896117,ARL4D
ARL6IP4,51329,1.4740815396006073,ARL6IP4
ARMCX1,51309,1.3913364734628266,ARMCX1
ARPC4,10093,1.251956846650953,ARPC4
ARS,57152,1.4081380492145914,SLURP1
ASB16,92591,2.3680935289511424,ASB16
ASB6,140459,1.3470652895058208,ASB6
ASS,445,1.6505352945174399,ASS1
ASTL,431705,1.6231975293540177,ASTL
ASTN,460,2.0655752415521,ASTN1
ATF6,22926,1.403598263852209,ATF6
ATOH1,474,1.1135332446129245,ATOH1
ATOX1,475,1.4553369782340826,ATOX1
ATP2C1,27032,1.6489520170568095,ATP2C1
ATP6V1D,51382,1.2233379919625622,ATP6V1D
ATRNL1,26033,1.5376688351818237,ATRNL1
ATRX,546,1.2806287229826614,ATRX
AUTS2,26053,1.313546644345787,AUTS2
AVPI1,60370,1.6598584071835965,AVPI1
AZGP1,563,1.1708497382546894,AZGP1
B1,27241,1.4114594130515243,BBS9
BACE1,23621,1.6761086842793127,BACE1
BAD,572,1.6270643725369396,BAD
BANF1,8815,1.9897440149182146,BANF1
BAT5,7920,1.7703589526859291,ABHD16A
BAZ2A,11176,1.2156898839845989,BAZ2A
BCL7B,9275,1.2975033810607441,BCL7B
BM88,51286,1.1838484059573005,CEND1
BMP10,27302,1.268597861081546,BMP10
BNIP2,663,1.7062826671915137,BNIP2
BRAP,8315,2.1322408382673004,BRAP
BRDT,676,2.324418334148628,BRDT
BRE,9577,1.2818834200954874,BABAM2
BUB1B,701,1.3323065086419588,BUB1B
C10ORF24,219736,1.3061222126954795,STOX1
C10ORF32,119032,1.3822970197694469,BORCS7
C10ORF59,55328,1.1676274243391491,RNLS
C11ORF13,8045,1.4628249989621298,RASSF7
C13ORF11,55002,1.5239225690898293,TMCO3
C13ORF3,221150,1.523712951084108,SKA3
C13ORF7,79596,1.2253526651561182,OBI1
C14ORF111,51077,1.4864538377278254,FCF1
C14ORF119,55017,1.5834015545524367,C14orf119
C14ORF120,25983,1.5474559544277917,NGDN
C14ORF168,83544,1.3911025306098885,DNAL1
C14ORF54,161142,1.9076939422369783,GARIN2
C14ORF6,122651,1.5892171028709912,RNASE11
C16orf50,84229,1.280626066441243,DRC7
C17,54360,1.2416783489312677,CYTL1
C17ORF32,147007,1.5801511462507558,TMEM199
C18ORF21,83608,1.155826221042596,C18orf21
C19ORF10,56005,1.4901981894050724,MYDGF
C19ORF2,8725,1.115899842585807,URI1
C19ORF22,91300,1.4640111900027042,R3HDM4
C1ORF19,116461,1.45894060694912,TSEN15
C1ORF29,10964,1.5402395502502813,IFI44L
C1ORF40,149345,1.9406717987619508,SHISA4
C20ORF155,54675,1.6060305058855309,CRLS1
C20ORF17,128553,1.367125728076563,TSHZ2
C20ORF22,26090,1.2646308642447601,ABHD12
C20ORF3,57136,1.2500373293041844,APMAP
C20ORF4,25980,1.4934878538731806,AAR2
C20ORF65,149699,1.1189757893112795,GTSF1L
C20ORF71,128861,1.1822238510901335,BPIFA3
C20ORF81,64773,1.484992284249821,PCED1A
C21ORF2,755,1.472895080550356,CFAP410
C21ORF33,8209,1.1607193293847482,GATD3
C21ORF5,9980,1.5083564903643891,DOP1B
C21ORF56,84221,1.2903937694004983,SPATC1L
