HGNC Symbol,GeneID,siRNA_Average_Zscore,protein_abundance_log2FC_24h,protein_abundance_log2FC_48h
441956,441956,1.7225699783179362,,
A2M,2,,,-2.371771761
AAGAB,79719,1.6449029387990537,,
AAR2,25980,1.4934878538731806,,
ABCC2,1244,1.2099342533708892,,
ABCD3,5825,,,0.994369676
ABCG2,9429,1.2936572371935722,,
ABHD12,26090,1.26463086424476,,
ABHD16A,7920,1.7703589526859291,,
ACACB,32,1.126953640687583,,
ACLY,47,1.1396191134170783,,
ACOT1,641371,,1.608293391,
ACSS1,84532,1.9949373385500548,,
ACTR5,79913,1.6397208962846714,,
ACVR1C,130399,1.1477219164063088,,
ACY1,95,1.1518877070484312,,
ADAM11,4185,1.3186725315058176,,
ADAM19,8728,1.189382527116922,,
ADAM32,203102,1.1716949489359338,,
ADAM7,8756,1.4036407377000413,,
ADAMTS2,9509,1.29925244806926,,
ADAMTSL3,57188,2.144264119971802,,
ADCY2,108,1.1427086275208649,,
ADNP2,22850,1.2765128222238933,,
ADRB2,154,1.502924819357123,,
AFMID,125061,1.10169679798083,,
AGAP7P,653268,1.2603854398095924,,
AGGF1,55109,1.618565095050328,,
AGL,178,1.1725822125425267,-1.062767157,
AGPAT5,55326,1.190737289478883,,
AGTR1,185,1.0999616146526192,,
AIRE,326,1.1322415051534405,,
AK9,222521,1.3792724651594592,,
AKAP14,158798,1.2418116518259108,,
AKT1S1,84335,1.2194851057415392,,
ALDH3A1,218,1.2443426090494865,,
ALDOA,226,1.4304176972244544,,
ALKBH1,8846,1.4920335250098735,,
ALKBH5,54890,1.626623794184986,,
ALOX12,239,1.5996165960385291,,
AMDHD2,51005,1.0988252649992432,,
AMER3,205147,1.1366014830391868,,
AMIGO2,347902,1.9128970239222391,,
AMPH,273,1.1699816585900416,,
ANAPC13,25847,1.0966448818631247,,
ANAPC15,25906,1.635136841972965,,
ANGEL2,90806,1.2827251678667253,,
ANKRD20A2P,441430,1.0972824486894948,,
ANKRD27,84079,1.7384494393809835,,
ANKRD37,353322,1.2482588332772169,,
ANKRD50,57182,1.8055815261535004,,
ANXA1,301,1.7820027918084458,,
ANXA11,311,1.727706644162228,,
ANXA3,306,1.313024009394771,,
AP1M1,8907,1.2550557880590971,,
AP3D1,8943,1.2494606133133477,,
AP5Z1,9907,1.735427086311372,,
APMAP,57136,1.2500373293041844,,
APOC2,344,1.2457048486138187,,
APOL1,8542,1.354420955891256,,
ARC,23237,2.0524338229997308,,
AREL1,9870,1.1294723558139292,,
ARHGAP26,23092,1.2037761591195963,,
ARHGAP35,2909,1.1473813717433188,,
ARHGAP44,9912,1.3444942099448889,,
ARHGEF1,9138,1.4466171011938278,,
ARHGEF11,9826,1.7732071419918698,,
ARIH2,10425,1.5306597922901206,,
ARL13A,392509,1.2616004015920996,,
ARL16,339231,1.7033205720724849,,
ARL17B,641522,1.3422506629957225,,
ARL4C,10123,2.1064048990973943,,
ARL4D,379,1.171410587896117,,
ARL6IP4,51329,1.4740815396006073,,
ARMCX1,51309,1.3913364734628266,,
ARPC4,10093,1.251956846650953,,
ASB16,92591,2.3680935289511424,,
ASB6,140459,1.3470652895058208,,
ASS1,445,1.65053529451744,,
ASTL,431705,1.6231975293540175,,
ASTN1,460,2.0655752415521,,
ATF6,22926,1.403598263852209,,
ATG16L2,89849,1.1994840168457386,,
ATG7,10533,,,-1.628836661
ATOH1,474,1.1135332446129245,,
ATOX1,475,1.4553369782340826,,
ATP2C1,27032,1.6489520170568095,,
ATP6V1D,51382,1.2233379919625622,,
ATRNL1,26033,1.5376688351818235,,
ATRX,546,1.2806287229826614,,
AUTS2,26053,1.313546644345787,,
AVPI1,60370,1.6598584071835965,,
