A - HGNC,B - Gene ID,C - UniProtID,D - Protein abundance 24 hours after infection vs mock control,E - Protein abundance 48 hours after infection vs mock control,"F - siRNA Screen Average Zscore (the higher the score, the stronger the negative effect on viral replication)",G - mRNA expression 24 hours after infection (log2FC_24hpi),H - mRNA expression 48 hours after infection (log2FC_48hpi),I - Dengue viral protein interacting with host protein,J - dengue_MiST_list
ZWILCH,55055,Q9H900,,,1.406935206,,,ZIKVfp NS4A,0.647205918
ZSCAN9,7746,O15535,,,1.680724549,,,,
ZSCAN16,80345,Q9H4T2,,,1.882437998,,,,
ZSCAN10,84891,Q96SZ4,,,1.498169094,,,,
ZNRF3,84133,Q9ULT6,,,1.363027892,,,,
ZNF846,162993,Q147U1,,,1.681527509,,,,
ZNF830,91603,Q96NB3,,,1.277953815,,,,
ZNF724,440519,,,,,,-2.465181913,,
ZNF711,7552,Q9Y462,,,,,-2.128946405,,
ZNF708,7562,P17019,,,1.52776384,,,,
ZNF704,619279,Q6ZNC4,,,1.356330411,,,,
ZNF702P,79986,,,,,,3.298257767,,
ZNF623,9831,O75123,,,,,-6.412347441,,
ZNF618,114991,Q5T7W0,,,,2.220139126,2.580671627,,
ZNF608,57507,Q9ULD9,,,1.222805245,,,,
ZNF594,84622,Q96JF6,,,,,-4.348260478,,
ZNF580,51157,Q9UK33,,,,,3.849240043,,
ZNF567,163081,Q8N184,,,1.699751791,,,,
ZNF565,147929,Q8N9K5,,,1.279754307,,,,
ZNF560,147741,Q96MR9,,,1.371358274,,,,
ZNF529,57711,Q6P280,,,1.949122983,,,,
ZNF512,84450,Q96ME7,,,1.414001777,,,"ZIKVfp Capsid,ZIKVug Capsid","0.639467156,0.645897806"
ZNF510,22869,Q9Y2H8,,,1.32352704,,,,
ZNF491,126069,Q8N8L2,,,1.116831763,,,,
ZNF490,57474,Q9ULM2,,,1.324101359,,,,
ZNF41,7592,P51814,,,,,2.012944215,,
ZNF408,79797,Q9H9D4,,,,-2.267611294,,,
ZNF354C,30832,Q86Y25,,,1.222872598,,,,
ZNF300P1,134466,,,,,,2.847879043,,
ZNF235,9310,Q14590,,,1.199703141,,,,
ZNF226,7769,Q9NYT6,,,1.362888971,,,,
ZNF212,7988,Q9UDV6,,,2.235643441,,,,
ZNF175,7728,Q9Y473,,,,,2.469280666,,
ZNF107,51427,Q9UII5,,,,,2.199306174,,
ZMYND15,84225,Q9H091,,,1.302149751,,,,
ZKSCAN3,80317,Q9BRR0,,,1.652508946,,,,
ZIK1,284307,Q3SY52,,,,2.174864059,,,
ZGPAT,84619,Q8N5A5,,,,2.44206836,,,
ZFYVE9,9372,O95405,,,1.38438038,,,,
ZFP36L2,678,P47974,,,,-2.148474677,,,
ZFP3,124961,Q96NJ6,,,,3.636198564,,,
ZEB2,9839,O60315,,,1.201469889,,,,
ZC3HAV1,56829,Q7Z2W4,,,,,2.214460226,"DENV2 16681 Capsid,DENV2 16681 Capsid Anchor","0.747569913395302,0.656680860027324"
ZC3H18,124245,Q86VM9,,,1.137189513,,,ZIKVfp NS5,0.619181658
ZBTB8A,653121,Q96BR9,,,1.803124229,-2.194689659,,,
ZBTB39,9880,O15060,,,,-2.249347702,,,
ZBTB3,79842,,,,1.328586565,,,,
ZBP1,81030,Q9H171,,,,7.415695975,7.994080836,,
ZBED4,9889,O75132,,,1.601351556,,,,
ZBED3,84327,Q96IU2,,,1.961540764,,,,
YWHAZP3,143371,,,,,,-5.982037438,,
YWHAZ,7534,P63104,,,1.117544038,,,,
YWHAH,7533,Q04917,,,,,3.148170727,,
YPEL4,219539,Q96NS1,,,1.801291498,,,,
YPEL2,388403,Q96QA6,,,1.3248204,,,,
YJEFN3,374887,A6XGL0,,,1.451950834,,,,
YIPF4,84272,Q9BSR8,,,1.492981803,,,,
YARS1,8565,P54577,,,1.27088285,,,,
XRN1,54464,Q8IZH2,,1.832641085,,,2.243886852,,
XCR1,2829,P46094,,,1.667205848,,,,
XBP1,7494,P17861,,,,,2.192241457,,
XAF1,54739,Q6GPH4,,,,2.578135291,3.786337991,,
XAB2,56949,Q9HCS7,,,1.47037704,,,DENV2 16681 NS5,0.6474883703410562
WNT5B,81029,Q9H1J7,,,1.589909638,,,,
WNT5A,7474,P41221,,,,,3.400017725,,
WNT2,7472,P09544,,,1.425206242,,,,
WNT16,51384,Q9UBV4,,,1.145201644,,,,
WNK4,65266,Q96J92,,,1.409063514,,,,
WIPF1,7456,O43516,,,1.233937575,,,,
WIF1,11197,Q9Y5W5,,,1.269663963,,,,
WFS1,7466,O76024,,,,,-4.608783966,DENV2 16681 NS4B,0.7327325600678226
WFIKKN2,124857,Q8TEU8,,,1.274534697,,,,
WDR44,54521,Q5JSH3,,,1.50898343,,,,
WDR19,57728,Q8NEZ3,,,1.813609189,,,,
WDFY4,57705,Q6ZS81,,,1.215775279,,,,
WAKMAR2,100130476,,,,,,2.052040702,,
VWF,7450,P04275,,,,,-3.174815256,,
VWA7,80737,Q9Y334,,,1.250301326,,,,
VTI1B,10490,Q9UEU0,,,1.208293995,,,DENV2 16681 NS4A,0.8516372202821544
VSTM1,284415,Q6UX27,,,,,-4.074794607,,
VSIG10L,147645,Q86VR7,,,,,2.260143608,,
VPS54,51542,Q9P1Q0,,,1.947314129,,,,
VPS53,55275,Q5VIR6,,,1.10394582,,,,
VPS26C,10311,O14972,,,1.203850052,,,,
VNN1,8876,O95497,,,,,-2.225633387,,
VMO1,284013,Q7Z5L0,,,1.308182534,,,,
VLDLR,7436,P98155,,,,,-2.698020435,,
VIPR1,7433,P32241,,,1.373017766,,-3.097651057,,
VEPH1,79674,Q14D04,,,1.141934525,,,,
VCX2,51480,Q9H322,,,2.103446905,,,,
VCAM1,7412,P19320,,,,,2.339997895,,
UTP18,51096,Q9Y5J1,,,1.62089633,,,"DENV2 16681 NS5,ZIKVfp Capsid,ZIKVug Capsid","0.6127588957774268,0.781200319,0.78421291"
UTP14A,10813,Q9BVJ6,,,1.275346749,,,"DENV2 16681 Capsid,ZIKVfp Capsid","0.6340726385048174,0.639420094"
USP51,158880,Q70EK9,,,,,-2.530404193,,
USP44,84101,Q9H0E7,,,1.24480163,,,,
USP41P,373856,,,,,3.60559081,4.48649546,,
USP30-AS1,100131733,,,,,,2.843704244,,
USP18,11274,Q9UMW8,,,,3.75757904,4.914183423,,
USH1G,124590,Q495M9,,,1.192067591,,,,
USF3,205717,Q68DE3,,,1.446304773,,,,
URI1,8725,O94763,,,1.115899843,,,,
UQCRQ,27089,O14949,,,,,-2.174966501,DENV2 16681 NS4A,0.64893588042558
UQCRFS1P1,100128525,,,,,,-2.123453622,,
UPF3B,65109,Q9BZI7,,,1.258473024,,,,
UPB1,51733,Q9UBR1,,,,,4.852647478,,
UNC5C,8633,O95185,,,,,4.009262289,,
ULK3,25989,Q6PHR2,,,1.920299187,,,,
UGP2,7360,Q16851,,,1.30060677,,,,
UCP2,7351,P55851,,,,,-2.3477491,,
UCN,7349,P55089,,,1.435068633,,,,
UCHL5,51377,Q9Y5K5,1.258477297,,,,,,
UCHL1,7345,P09936,,-2.812635139,,,,,
UBXN7,26043,O94888,,-2.721373263,,,,,
UBTD1,80019,Q9HAC8,,,1.104849414,,,,
UBR4,23352,Q5T4S7,,,1.115231155,,,,
UBE2QL1,134111,A1L167,,,1.489264609,,,,
UBE2O,63893,Q9C0C9,1.145852987,,1.124495997,,,,
UBE2L6,9246,O14933,,2.504379703,,,,,
UBE2J1,51465,Q9Y385,,,1.659325194,,,,
UBD,10537,O15205,,,,,3.379379398,,
UBAP2,55833,Q5T6F2,,,1.300752681,,,,
TYMP,1890,P19971,,,,,2.000156273,,
TXNRD2,10587,Q9NNW7,2.496962686,,,,,,
TXNL4B,54957,Q9NX01,,,1.510638731,,,,
TXNDC12,51060,O95881,,,2.250792921,,,,
TUSC1,286319,Q2TAM9,,,,-2.03146195,,,
TULP2,7288,O00295,,,,2.933048917,3.566324135,,
TUBB2A,7280,Q13885,,,,,-2.342686646,,
