A - HGNC,D - Protein abundance 24 hours after infection vs mock control,E - Protein abundance 48 hours after infection vs mock control,G - mRNA expression 24 hours after infection (log2FC_24hpi),H - mRNA expression 48 hours after infection (log2FC_48hpi)
ZWILCH,,,,
ZSCAN9,,,,
ZSCAN16,,,,
ZSCAN10,,,,
ZNRF3,,,,
ZNF846,,,,
ZNF830,,,,
ZNF724,,,,-2.465181913
ZNF711,,,,-2.128946405
ZNF708,,,,
ZNF704,,,,
ZNF702P,,,,3.298257767
ZNF623,,,,-6.412347441
ZNF618,,,2.220139126,2.580671627
ZNF608,,,,
ZNF594,,,,-4.348260478
ZNF580,,,,3.849240043
ZNF567,,,,
ZNF565,,,,
ZNF560,,,,
ZNF529,,,,
ZNF512,,,,
ZNF510,,,,
ZNF491,,,,
ZNF490,,,,
ZNF41,,,,2.012944215
ZNF408,,,-2.267611294,
ZNF354C,,,,
ZNF300P1,,,,2.847879043
ZNF235,,,,
ZNF226,,,,
ZNF212,,,,
ZNF175,,,,2.469280666
ZNF107,,,,2.199306174
ZMYND15,,,,
ZKSCAN3,,,,
ZIK1,,,2.174864059,
ZGPAT,,,2.44206836,
ZFYVE9,,,,
ZFP36L2,,,-2.148474677,
ZFP3,,,3.636198564,
ZEB2,,,,
ZC3HAV1,,,,2.214460226
ZC3H18,,,,
ZBTB8A,,,-2.194689659,
ZBTB39,,,-2.249347702,
ZBTB3,,,,
ZBP1,,,7.415695975,7.994080836
ZBED4,,,,
ZBED3,,,,
YWHAZP3,,,,-5.982037438
YWHAZ,,,,
YWHAH,,,,3.148170727
YPEL4,,,,
YPEL2,,,,
YJEFN3,,,,
YIPF4,,,,
YARS1,,,,
XRN1,,1.832641085,,2.243886852
XCR1,,,,
XBP1,,,,2.192241457
XAF1,,,2.578135291,3.786337991
XAB2,,,,
WNT5B,,,,
WNT5A,,,,3.400017725
WNT2,,,,
WNT16,,,,
WNK4,,,,
WIPF1,,,,
WIF1,,,,
WFS1,,,,-4.608783966
WFIKKN2,,,,
WDR44,,,,
WDR19,,,,
WDFY4,,,,
WAKMAR2,,,,2.052040702
