name,DV3_24h-Mock_24h
MRPS15,
SP1,
UBC,
MRPL36,
RAB43,1.346686195
ensembl:ENSP00000339527,
MRPS14,
GYS2,
JUN,
MRPL47,
MRPL46,
RPS27A,
MRPL39,1.864309705
MAP2K1,
NDUFAB1,
SAMD9,
RAPGEF4,
DDX60L,
MAP2K2,
MRPL43,
MRPL19,
MRPS10,
RAPGEF3,
ESR2,
MRPL27,
TCEB2,
BCL2,
FOS,
NFKB1,
MRPL34,
ISG20,
GYS1,
COPS2,1.146746077
THRB,
NBEAL2,-1.278896145
POLDIP3,
STAT1,
NFATC1,
ensembl:ENSP00000266000,
CALCOCO1,-4.320640808
ACOT1,1.608293391
IFNL1,
MRPL16,
RELA,
NDUFS4,
MECOM,
SLC39A7,
MRPL22,
BRAP,0.950359927
BRCA1,
PRKACA,2.336694091
MRPL40,
PACS2,-1.582585897
BLVRB,1.492405884
MRPL41,
CXCL10,
DAP3,
BAD,
RAP1A,
IFNA1,
TXNRD2,2.496962686
RAP1B,
ATF2,
MRPS35,
MRPS5,
PPP1R14A,1.624327066
IFI35,
SP100,
DTX3L,
BST2,
MRPL3,
MX2,3.68336919
NRAS,
RPS18,
TRIM22,
ensembl:ENSP00000330825,
HRAS,
MRPL49,
KRAS,
UBE2L6,
HERC6,
MRPS16,
DDX58,
IFI6,
ensembl:ENSP00000360876,
EIF2AK2,
OAS3,
OASL,
STAT2,
IRF7,
ensembl:ENSP00000497271,
IFI44,
GLTSCR2,
ensembl:ENSP00000493536,
IFI27,
MRPL13,
ensembl:ENSP00000306902,
RSAD2,
RAB5B,-1.361548243
DHX58,
CMPK2,2.040383286
USP41,
RHOA,
RTP4,
EPSTI1,
MRPL32,
MAPK9,-0.899060288
DDX60,
FOXO1,
SAMD9L,1.172951102
OAS2,
IFITM3,
IFIT5,
GBP1,
HERC5,
ensembl:ENSP00000411256,
XAF1,
ESR1,
LY6E,
OAS1,2.309110681
PARP9,0.971403167
MX1,3.466208244
BAP1,
PARP12,
IRF9,
SP110,0.842989962
ensembl:ENSP00000490935,
IFI44L,
GNB5,
USP18,
ensembl:ENSP00000496832,
MRPS12,
PGR,
SLC30A1,-2.114594111
ensembl:ENSP00000496250,
LYAR,1.381904766
GABARAP,
RPL23L,
IFNB1,
RING1,1.150034561
BARD1,
IFIT1,
MRPS6,
ensembl:ENSP00000498074,
PPARA,
ITPR3,
MRPL17,
GABARAPL2,
RNASEL,
MAP3K5,
AGL,-1.062767157
MRPS9,
ITPR1,
PLSCR1,
NCOA3,
ENPP3,
PARP14,
UBE2O,1.145852987
MRPL44,
MED1,
MRPL33,
MRPS11,
TP53,
CARM1,
PSD4,0.653926188
UBA52,
ECHDC3,-0.626369403
IFIT2,3.884688719
RIGI,3.020813326
NT5C3A,2.031440785
IFIT3,3.494644087
IFIH1,2.003777245
DGLUCY,-1.227909786
BORCS6,-1.140864972
CPNE2,1.548069833
UCHL5,1.258477297
